timestamp,aqi,pm2_5,pm10,o3,no2,co,so2,temperature,pressure,humidity,wind_speed,wind_direction,hour,day,day_of_week,month,is_weekend,hour_category
2025-08-12 00:00:00,70,15.7,34.6,44.0,5.0,133.0,6.1,0.0,0,0,0.0,0,0,12,1,8,0,0
2025-08-12 01:00:00,70,15.1,33.5,43.0,6.4,171.0,6.9,0.0,0,0,0.0,0,1,12,1,8,0,0
2025-08-12 02:00:00,70,15.8,35.2,42.0,8.2,224.0,8.0,0.0,0,0,0.0,0,2,12,1,8,0,0
2025-08-12 03:00:00,69,16.1,36.4,43.0,9.1,255.0,9.0,0.0,0,0,0.0,0,3,12,1,8,0,0
2025-08-12 04:00:00,69,16.4,38.3,47.0,8.0,245.0,9.6,0.0,0,0,0.0,0,4,12,1,8,0,0
2025-08-12 05:00:00,69,17.3,40.9,52.0,6.0,213.0,10.1,0.0,0,0,0.0,0,5,12,1,8,0,0
2025-08-12 06:00:00,69,17.5,41.1,56.0,4.4,191.0,10.3,0.0,0,0,0.0,0,6,12,1,8,0,1
2025-08-12 07:00:00,69,17.1,38.8,59.0,3.7,188.0,10.2,0.0,0,0,0.0,0,7,12,1,8,0,1
2025-08-12 08:00:00,68,16.9,37.3,61.0,3.4,194.0,9.8,0.0,0,0,0.0,0,8,12,1,8,0,1
2025-08-12 09:00:00,68,16.9,36.6,61.0,3.6,206.0,9.6,0.0,0,0,0.0,0,9,12,1,8,0,1
2025-08-12 10:00:00,68,17.2,36.2,59.0,4.4,226.0,9.6,0.0,0,0,0.0,0,10,12,1,8,0,2
2025-08-12 11:00:00,68,16.9,35.3,55.0,5.6,253.0,9.6,0.0,0,0,0.0,0,11,12,1,8,0,2
2025-08-12 12:00:00,67,19.7,41.9,52.0,7.2,277.0,10.0,0.0,0,0,0.0,0,12,12,1,8,0,2
2025-08-12 13:00:00,67,21.0,43.5,47.0,10.7,300.0,10.2,0.0,0,0,0.0,0,13,12,1,8,0,2
